a,  0.0760
a1, 0.0043
a2, 0.0005
a3, 0.0000
b,  0.0096
c,  0.0339
c1,  0.0005
d,  0.0408
e,  0.1447
e1,  0.0243
e2,  0.0042
e3,  0.0013
e4,  0.0000
f,  0.0112
g,  0.0118
h,  0.0093
i,  0.0721
i1,  0.0004
i2,  0.0001
j,  0.0030
k,  0.0016
l,  0.0586
m,  0.0278
n,  0.0732
o,  0.0539
o1,  0.0005
o2,  0.0002
p,  0.0298
q,  0.0085
r,  0.0686
s,  0.0798
t,  0.0711
u,  0.0555
u1,  0.0002
u2,  0.0002
u3,  0.0000
v,  0.0129
w,  0.0008
x,  0.0043
y,  0.0034
y1,  0.0000
z,  0.0010
